Node          U1          U2          U3
502 -0.00102939 -0.00082806 -5.53845e-05
503 -0.00123436 -0.00111758 -5.78609e-05
504 -0.00146461 -0.00146159 -6.00498e-05
505 -0.00173675 -0.00188585 -6.20385e-05
506 -0.00206012 -0.00243162 -6.37399e-05
507 -0.000232498 -9.37032e-05 -3.52531e-05
508 -0.000443631 -0.00020589 -6.05852e-05
509 -0.000642395 -0.000365132 -7.16166e-05
510 -0.000835091 -0.000566719 -7.80089e-05
511 -0.00102793 -0.00081032 -8.22597e-05
512 -0.00123097 -0.00109727 -8.63204e-05
513 -0.00145932 -0.00143785 -9.08391e-05
514 -0.00173002 -0.00185767 -9.58734e-05
515 -0.00205301 -0.00239843 -0.000100577
516 2.11996e-24 -1.83974e-25 -1.63846e-25
517 2.09205e-24 -2.11553e-25 -9.82176e-26
518 2.10347e-24 -2.22286e-25 -4.39966e-26
519 2.10663e-24 -2.25465e-25 -4.79632e-38
520 2.10347e-24 -2.22286e-25 4.39966e-26
521 2.09205e-24 -2.11553e-25 9.82176e-26
522 2.11996e-24 -1.83974e-25 1.63846e-25
523 1.30955e-24 -1.42246e-25 -1.09713e-25
524 1.28309e-24 -1.75962e-25 -6.64102e-26
525 1.28716e-24 -1.89106e-25 -2.95562e-26
526 1.28804e-24 -1.92971e-25 -3.01127e-38
527 1.28716e-24 -1.89106e-25 2.95562e-26
528 1.28309e-24 -1.75962e-25 6.64102e-26
529 1.30955e-24 -1.42246e-25 1.09713e-25
530 6.31463e-25 -1.14121e-25 -5.29373e-26
531 6.18279e-25 -1.51279e-25 -3.28401e-26
532 6.20505e-25 -1.65071e-25 -1.46249e-26
533 6.20982e-25 -1.69124e-25 -1.37258e-38
534 6.20505e-25 -1.65071e-25 1.46249e-26
535 6.18279e-25 -1.51279e-25 3.28401e-26
536 6.31463e-25 -1.14121e-25 5.29373e-26
537 -1.83881e-26 -9.97964e-26 2.62753e-27
538 -1.48314e-26 -1.38358e-25 1.87905e-27
539 -1.36778e-26 -1.52955e-25 9.48661e-28
540 -1.33556e-26 -1.57122e-25 1.69799e-39
